M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C,M80C,B80C,M85C,B85C,M90C,B90C,M95C,B95C,M100C,B100C,M105C,B105C,M110C,B110C,M115C,B115C,M120C,B120C,M125C,B125C,M130C,B130C,M135C,B135C
-17.3698,-717.191,-16.7364,-717.19,-16.0132,-717.161,-15.1838,-717.185,-14.1216,-717.185,-13.3511,-717.17,-12.263,-717.154,-10.9163,-717.163,-9.62039,-717.13,-7.86297,-717.467,-6.2346,-717.253,-5.65495,-717.213,-4.41617,-717.214,-3.41845,-717.187,-2.34289,-717.19,-1.98605,-717.165,-1.54678,-717.163,-1.20659,-717.137,-0.954174,-717.123,-0.781385,-717.115,-0.649772,-717.104,-0.52801,-717.119,-0.45709,-717.131,-0.385193,-717.121
-17.3753,-718.433,-16.7426,-718.429,-16.0159,-718.423,-15.1891,-718.416,-14.1263,-718.433,-13.3564,-718.408,-12.2648,-718.394,-10.9205,-718.403,-9.6218,-718.37,-7.86827,-718.712,-6.23839,-718.499,-5.65965,-718.45,-4.41887,-718.455,-3.42247,-718.43,-2.34687,-718.431,-1.98932,-718.417,-1.5476,-718.402,-1.2087,-718.385,-0.954848,-718.368,-0.788363,-718.356,-0.650947,-718.353,-0.528505,-718.361,-0.453991,-718.37,-0.384117,-718.364
-17.384,-719.665,-16.7482,-719.676,-16.0206,-719.66,-15.1932,-719.664,-14.1305,-719.669,-13.3588,-719.644,-12.2682,-719.64,-10.9243,-719.644,-9.628,-719.61,-7.87318,-719.955,-6.24278,-719.743,-5.66522,-719.698,-4.42241,-719.706,-3.42591,-719.672,-2.35231,-719.675,-1.99207,-719.664,-1.55146,-719.643,-1.2114,-719.626,-0.954613,-719.603,-0.786025,-719.593,-0.652365,-719.588,-0.529497,-719.604,-0.453833,-719.614,-0.384735,-719.607
-17.393,-720.937,-16.7551,-720.942,-16.0266,-720.919,-15.1984,-720.92,-14.1345,-720.944,-13.3621,-720.897,-12.2684,-720.904,-10.9274,-720.909,-9.63019,-720.89,-7.87646,-721.205,-6.24767,-721.008,-5.66977,-720.964,-4.42535,-720.957,-3.42892,-720.943,-2.36527,-720.955,-1.99447,-720.924,-1.5503,-720.898,-1.21201,-720.895,-0.954778,-720.875,-0.785345,-720.862,-0.653167,-720.843,-0.529687,-720.871,-0.455482,-720.879,-0.384265,-720.863
-17.4008,-722.194,-16.7631,-722.16,-16.035,-722.168,-15.2025,-722.161,-14.1383,-722.166,-13.3684,-722.148,-12.2717,-722.136,-10.9299,-722.154,-9.62913,-722.123,-7.87847,-722.468,-6.25254,-722.247,-5.67309,-722.202,-4.42929,-722.195,-3.43257,-722.174,-2.35812,-722.185,-1.99697,-722.158,-1.54864,-722.143,-1.21213,-722.122,-0.952703,-722.106,-0.787131,-722.093,-0.654537,-722.095,-0.53157,-722.108,-0.456277,-722.109,-0.388082,-722.11
-17.4119,-723.423,-16.7676,-723.432,-16.0426,-723.435,-15.2069,-723.414,-14.1442,-723.432,-13.373,-723.396,-12.2753,-723.381,-10.9338,-723.403,-9.63049,-723.378,-7.88181,-723.712,-6.25607,-723.497,-5.67671,-723.451,-4.43402,-723.46,-3.43655,-723.425,-2.36008,-723.433,-1.99947,-723.414,-1.54994,-723.398,-1.21656,-723.369,-0.959384,-723.355,-0.788306,-723.352,-0.655533,-723.335,-0.531845,-723.36,-0.456577,-723.357,-0.38884,-723.381
-17.4155,-724.679,-16.7724,-724.671,-16.0453,-724.67,-15.2095,-724.65,-14.1489,-724.671,-13.3756,-724.654,-12.2783,-724.621,-10.9371,-724.651,-9.63222,-724.609,-7.88488,-724.963,-6.26009,-724.748,-5.68082,-724.708,-4.43674,-724.704,-3.43932,-724.687,-2.36227,-724.686,-2.00103,-724.658,-1.55538,-724.642,-1.21945,-724.626,-0.960004,-724.602,-0.789023,-724.613,-0.656463,-724.595,-0.533105,-724.623,-0.456814,-724.617,-0.388169,-724.609
-17.4173,-725.936,-16.7793,-725.945,-16.0496,-725.941,-15.2141,-725.924,-14.1546,-725.941,-13.3769,-725.916,-12.2841,-725.888,-10.9411,-725.916,-9.63876,-725.863,-7.88882,-726.217,-6.26245,-726.012,-5.68408,-725.949,-4.44,-725.964,-3.44259,-725.927,-2.36475,-725.955,-2.00187,-725.927,-1.55861,-725.903,-1.22002,-725.887,-0.961854,-725.883,-0.790582,-725.865,-0.658025,-725.846,-0.532517,-725.872,-0.457801,-725.867,-0.386717,-725.861
-17.4212,-727.165,-16.7847,-727.169,-16.0547,-727.158,-15.2197,-727.162,-14.1605,-727.167,-13.3808,-727.143,-12.2859,-727.127,-10.9474,-727.14,-9.64321,-727.11,-7.89221,-727.445,-6.26666,-727.233,-5.68909,-727.203,-4.44358,-727.194,-3.44616,-727.152,-2.36478,-727.162,-2.0036,-727.143,-1.55673,-727.128,-1.22697,-727.114,-0.958318,-727.102,-0.793281,-727.093,-0.659278,-727.079,-0.534215,-727.099,-0.459128,-727.11,-0.392078,-727.093
-17.4263,-728.403,-16.7932,-728.401,-16.0631,-728.416,-15.2271,-728.388,-14.1651,-728.408,-13.3849,-728.376,-12.2998,-728.367,-10.9543,-728.383,-9.64806,-728.348,-7.89706,-728.687,-6.27151,-728.476,-5.69234,-728.428,-4.44743,-728.446,-3.44909,-728.416,-2.37101,-728.414,-2.0081,-728.411,-1.56286,-728.381,-1.2252,-728.365,-0.961033,-728.343,-0.793035,-728.34,-0.660222,-728.329,-0.536052,-728.348,-0.459416,-728.355,-0.396975,-728.349
