M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C
9.68612,1517.77,9.36621,1517.73,8.86402,1517.69,7.42677,1517.68,6.30998,1517.72,5.18116,1517.72,4.24759,1517.7,3.40583,1517.72,2.68454,1517.7,2.10482,1517.85,1.81883,1517.81,1.57323,1517.72
9.67848,1516.53,9.36558,1516.47,8.86189,1516.45,7.4245,1516.43,6.30751,1516.47,5.17883,1516.47,4.24623,1516.44,3.40403,1516.47,2.68349,1516.45,2.1028,1516.59,1.81495,1516.56,1.57213,1516.47
9.67115,1515.29,9.36682,1515.23,8.86086,1515.22,7.42213,1515.19,6.30546,1515.23,5.17577,1515.23,4.24391,1515.2,3.40481,1515.24,2.68221,1515.22,2.10033,1515.36,1.81377,1515.32,1.57132,1515.24
9.66934,1514.02,9.36736,1513.98,8.85765,1513.97,7.4203,1513.95,6.30262,1513.99,5.17452,1513.98,4.24211,1513.96,3.40353,1513.99,2.67949,1513.97,2.0991,1514.12,1.81474,1514.08,1.57043,1513.99
9.67193,1512.78,9.36238,1512.74,8.85393,1512.72,7.4183,1512.7,6.29996,1512.74,5.17195,1512.74,4.23944,1512.71,3.39975,1512.74,2.67699,1512.72,2.09791,1512.87,1.81245,1512.84,1.56458,1512.74
9.67174,1511.53,9.35679,1511.49,8.85306,1511.47,7.41643,1511.44,6.29761,1511.48,5.16957,1511.48,4.23674,1511.44,3.39824,1511.49,2.67555,1511.47,2.09701,1511.62,1.81248,1511.58,1.56129,1511.48
9.66355,1510.28,9.35322,1510.25,8.85215,1510.23,7.41547,1510.2,6.29517,1510.24,5.1673,1510.24,4.23358,1510.21,3.39566,1510.24,2.67351,1510.23,2.09553,1510.38,1.81152,1510.34,1.5617,1510.25
9.65507,1509.02,9.34793,1508.98,8.85062,1508.98,7.41382,1508.96,6.29363,1508.98,5.16535,1508.98,4.23315,1508.96,3.39376,1509,2.67159,1508.97,2.09306,1509.13,1.81007,1509.08,1.56274,1509
9.64757,1507.78,9.3431,1507.76,8.84894,1507.74,7.41207,1507.72,6.29295,1507.75,5.16204,1507.75,4.2316,1507.72,3.39257,1507.76,2.66961,1507.74,2.09123,1507.88,1.80926,1507.84,1.5627,1507.76
9.6414,1506.51,9.34195,1506.5,8.84729,1506.5,7.41004,1506.46,6.29016,1506.49,5.15944,1506.5,4.22958,1506.46,3.39155,1506.5,2.66803,1506.48,2.0903,1506.63,1.80642,1506.59,1.56254,1506.5
9.64301,1505.28,9.33936,1505.26,8.84539,1505.27,7.40799,1505.23,6.28797,1505.25,5.15757,1505.26,4.22797,1505.23,3.38789,1505.26,2.66614,1505.24,2.08849,1505.39,1.80573,1505.35,1.56177,1505.26
9.65493,1504.02,9.33945,1504.02,8.8438,1504,7.40498,1503.97,6.28597,1503.99,5.15488,1504.01,4.22554,1503.97,3.38557,1504.01,2.66298,1503.99,2.0871,1504.14,1.80459,1504.1,1.55843,1504
9.65392,1502.77,9.34095,1502.76,8.84175,1502.76,7.40267,1502.73,6.28409,1502.74,5.15186,1502.75,4.22414,1502.73,3.38093,1502.76,2.6623,1502.74,2.08622,1502.88,1.80332,1502.85,1.5542,1502.76
9.65234,1501.53,9.33925,1501.54,8.84049,1501.52,7.40055,1501.48,6.28129,1501.5,5.14979,1501.51,4.21998,1501.47,3.37815,1501.52,2.65952,1501.49,2.08464,1501.64,1.80191,1501.6,1.55495,1501.5
9.64865,1500.28,9.3339,1500.3,8.839,1500.27,7.39797,1500.24,6.27921,1500.25,5.14791,1500.26,4.21746,1500.24,3.37456,1500.27,2.65837,1500.25,2.08241,1500.4,1.80062,1500.35,1.55525,1500.26
9.64512,1499.02,9.33131,1499.06,8.83615,1499.03,7.39619,1499,6.27675,1499,5.14596,1499,4.21614,1498.99,3.37267,1499.02,2.65771,1499,2.08168,1499.15,1.79924,1499.1,1.55152,1499.02
9.64275,1497.79,9.32857,1497.82,8.83476,1497.8,7.39302,1497.77,6.27369,1497.76,5.14411,1497.77,4.215,1497.75,3.37006,1497.79,2.65572,1497.77,2.08024,1497.91,1.79745,1497.87,1.55123,1497.79
9.6382,1496.56,9.3307,1496.57,8.832,1496.55,7.39088,1496.53,6.27155,1496.52,5.14179,1496.52,4.21192,1496.5,3.37153,1496.54,2.65423,1496.53,2.07758,1496.66,1.79523,1496.63,1.5507,1496.54
9.63255,1495.31,9.32932,1495.35,8.82967,1495.31,7.39024,1495.29,6.26919,1495.28,5.13879,1495.29,4.20834,1495.27,3.3699,1495.31,2.65269,1495.28,2.07642,1495.43,1.79479,1495.39,1.55034,1495.31
9.63268,1494.07,9.32888,1494.09,8.82776,1494.06,7.38716,1494.04,6.26719,1494.02,5.13633,1494.03,4.20383,1494.02,3.36536,1494.05,2.65086,1494.04,2.07588,1494.18,1.79404,1494.14,1.54784,1494.06
9.63178,1492.83,9.3287,1492.84,8.82617,1492.82,7.37752,1492.79,6.26478,1492.77,5.134,1492.78,4.19895,1492.77,3.36319,1492.8,2.6487,1492.78,2.07435,1492.93,1.79269,1492.89,1.54578,1492.8
9.62705,1491.59,9.32722,1491.6,8.82399,1491.58,7.37684,1491.55,6.2631,1491.54,5.13174,1491.54,4.19667,1491.53,3.36198,1491.56,2.64747,1491.55,2.07207,1491.69,1.79131,1491.64,1.54605,1491.56
9.62244,1490.34,9.3227,1490.36,8.82153,1490.33,7.3751,1490.32,6.26033,1490.29,5.12956,1490.3,4.19486,1490.29,3.3619,1490.31,2.64665,1490.29,2.07156,1490.45,1.78987,1490.4,1.54368,1490.32
9.61907,1489.11,9.32024,1489.11,8.81975,1489.08,7.37273,1489.06,6.25773,1489.05,5.12733,1489.05,4.19212,1489.03,3.35885,1489.08,2.64576,1489.05,2.06902,1489.2,1.78851,1489.15,1.54326,1489.07
9.61384,1487.83,9.31525,1487.83,8.81813,1487.8,7.36947,1487.78,6.25561,1487.77,5.12526,1487.77,4.19219,1487.75,3.35616,1487.79,2.64446,1487.77,2.06771,1487.92,1.78735,1487.88,1.54186,1487.8
9.61201,1486.54,9.31086,1486.53,8.81604,1486.51,7.36304,1486.49,6.25325,1486.47,5.12267,1486.47,4.18805,1486.45,3.35114,1486.49,2.64275,1486.48,2.06583,1486.62,1.78611,1486.58,1.54017,1486.49
9.61049,1485.3,9.30751,1485.28,8.81308,1485.24,7.36121,1485.23,6.25043,1485.22,5.12005,1485.23,4.18845,1485.2,3.34908,1485.23,2.64054,1485.23,2.06464,1485.37,1.78461,1485.33,1.54057,1485.25
9.60233,1484.02,9.30381,1484.03,8.81112,1483.99,7.35965,1483.98,6.24756,1483.97,5.11782,1483.97,4.18559,1483.96,3.34922,1483.99,2.63911,1483.97,2.06215,1484.12,1.78301,1484.08,1.54104,1484
9.6041,1482.8,9.29824,1482.79,8.80941,1482.75,7.35571,1482.74,6.24488,1482.74,5.11589,1482.74,4.18395,1482.72,3.34764,1482.75,2.63732,1482.74,2.06115,1482.88,1.78187,1482.83,1.53972,1482.75
9.60371,1481.56,9.29445,1481.54,8.80753,1481.49,7.35266,1481.48,6.24323,1481.49,5.11328,1481.5,4.17955,1481.47,3.34518,1481.5,2.63494,1481.49,2.06059,1481.64,1.78022,1481.6,1.5386,1481.51
9.60147,1480.3,9.28917,1480.3,8.80619,1480.26,7.34962,1480.23,6.24118,1480.25,5.11127,1480.27,4.17809,1480.22,3.34364,1480.24,2.63391,1480.24,2.05685,1480.39,1.77621,1480.34,1.53658,1480.26
9.60055,1479.06,9.28863,1479.05,8.80362,1479,7.34977,1478.98,6.23874,1479,5.10884,1479.01,4.17799,1478.99,3.34283,1479.01,2.63112,1478.99,2.05172,1479.15,1.77594,1479.1,1.53362,1479.01
9.59781,1477.83,9.28774,1477.79,8.80125,1477.75,7.35461,1477.74,6.23744,1477.77,5.10667,1477.76,4.1764,1477.73,3.34267,1477.77,2.62916,1477.75,2.04758,1477.9,1.77492,1477.86,1.53521,1477.77
9.59476,1476.58,9.28139,1476.55,8.79805,1476.51,7.3556,1476.5,6.23523,1476.52,5.10476,1476.52,4.17147,1476.5,3.34261,1476.53,2.62739,1476.51,2.04539,1476.66,1.77442,1476.61,1.5315,1476.53
9.592,1475.32,9.2791,1475.3,8.79908,1475.27,7.35474,1475.24,6.23218,1475.29,5.10194,1475.28,4.16767,1475.25,3.34177,1475.28,2.62559,1475.26,2.04411,1475.41,1.77197,1475.37,1.53088,1475.29
9.59354,1474.08,9.27768,1474.03,8.79718,1474,7.35275,1473.99,6.2298,1474.02,5.09829,1474.03,4.16649,1474,3.3412,1474.02,2.62206,1474,2.0443,1474.16,1.77018,1474.12,1.5247,1474.03
9.59736,1472.84,9.27416,1472.8,8.79591,1472.76,7.35052,1472.73,6.22739,1472.78,5.09585,1472.78,4.16328,1472.75,3.33992,1472.79,2.62226,1472.78,2.04473,1472.91,1.77025,1472.87,1.52832,1472.79
9.59559,1471.57,9.27024,1471.53,8.79174,1471.52,7.34796,1471.5,6.22472,1471.53,5.0932,1471.53,4.16551,1471.5,3.33844,1471.53,2.62029,1471.52,2.04649,1471.65,1.76927,1471.61,1.52439,1471.54
9.58908,1470.33,9.26782,1470.28,8.78791,1470.27,7.34565,1470.24,6.2214,1470.29,5.09083,1470.29,4.15681,1470.25,3.33568,1470.29,2.61896,1470.27,2.04704,1470.41,1.76771,1470.37,1.52488,1470.29
9.582,1469.07,9.26548,1469.04,8.78176,1469.03,7.34379,1469,6.2184,1469.03,5.088,1469.04,4.15501,1469.01,3.33403,1469.04,2.61725,1469.02,2.04548,1469.17,1.76659,1469.12,1.52515,1469.04
9.5774,1467.82,9.26267,1467.79,8.7778,1467.77,7.34215,1467.74,6.2157,1467.79,5.08484,1467.78,4.15392,1467.75,3.33162,1467.79,2.61615,1467.77,2.04419,1467.91,1.7639,1467.88,1.52339,1467.8
9.57178,1466.57,9.25766,1466.54,8.77658,1466.53,7.34008,1466.51,6.21364,1466.54,5.0824,1466.54,4.15224,1466.52,3.32929,1466.55,2.6145,1466.54,2.03862,1466.67,1.76274,1466.64,1.52431,1466.55
9.57001,1465.31,9.25569,1465.29,8.77582,1465.27,7.33822,1465.26,6.21174,1465.28,5.08081,1465.28,4.15253,1465.27,3.3264,1465.29,2.61212,1465.28,2.03971,1465.41,1.76226,1465.38,1.52284,1465.29
9.56596,1464.04,9.25124,1464.03,8.77481,1464.02,7.33557,1464,6.20943,1464.03,5.07904,1464.03,4.15316,1464.01,3.32503,1464.04,2.60926,1464.02,2.03884,1464.16,1.76027,1464.12,1.51911,1464.04
9.5662,1462.82,9.24885,1462.81,8.77406,1462.8,7.33302,1462.75,6.20714,1462.81,5.07586,1462.79,4.15189,1462.76,3.32348,1462.83,2.60787,1462.8,2.03659,1462.94,1.75836,1462.89,1.51721,1462.81
9.56154,1461.53,9.24683,1461.54,8.77072,1461.53,7.33053,1461.5,6.20473,1461.52,5.07288,1461.53,4.15263,1461.5,3.32151,1461.53,2.60565,1461.51,2.03711,1461.66,1.75692,1461.61,1.52004,1461.54
9.55643,1460.3,9.24297,1460.29,8.76763,1460.29,7.32887,1460.26,6.20254,1460.28,5.07088,1460.28,4.15059,1460.25,3.31961,1460.29,2.60391,1460.27,2.03613,1460.42,1.75773,1460.37,1.51607,1460.29
9.55141,1459.05,9.24022,1459.05,8.76478,1459.06,7.3264,1459.02,6.20115,1459.03,5.0676,1459.03,4.14899,1459.02,3.31766,1459.04,2.60224,1459.03,2.0345,1459.16,1.7557,1459.13,1.51461,1459.05
9.54721,1457.82,9.23594,1457.81,8.76217,1457.81,7.32347,1457.78,6.19927,1457.79,5.065,1457.79,4.14752,1457.78,3.31535,1457.81,2.60054,1457.79,2.03294,1457.92,1.75339,1457.88,1.51491,1457.81
9.54438,1456.58,9.23362,1456.58,8.75848,1456.57,7.32132,1456.55,6.19708,1456.55,5.0632,1456.56,4.14487,1456.53,3.31384,1456.57,2.59902,1456.55,2.03173,1456.69,1.75082,1456.64,1.5116,1456.57
9.54009,1455.32,9.22953,1455.34,8.75619,1455.33,7.31991,1455.3,6.19482,1455.29,5.06156,1455.3,4.1419,1455.28,3.31279,1455.32,2.59745,1455.3,2.03042,1455.45,1.75098,1455.4,1.51239,1455.32
9.54035,1454.07,9.22795,1454.1,8.75449,1454.09,7.31646,1454.05,6.19226,1454.04,5.05895,1454.06,4.13443,1454.04,3.31189,1454.07,2.59555,1454.05,2.02705,1454.18,1.74512,1454.15,1.51194,1454.06
9.53766,1452.83,9.22694,1452.87,8.75209,1452.86,7.31125,1452.81,6.18998,1452.8,5.05732,1452.81,4.13293,1452.78,3.30996,1452.83,2.59364,1452.81,2.02736,1452.94,1.74431,1452.91,1.50825,1452.82
9.53399,1451.6,9.22182,1451.62,8.7495,1451.61,7.30902,1451.58,6.18745,1451.56,5.05482,1451.57,4.13031,1451.56,3.30745,1451.59,2.59223,1451.56,2.02831,1451.71,1.74657,1451.67,1.50828,1451.58
9.52979,1450.35,9.21682,1450.38,8.74649,1450.36,7.30707,1450.33,6.1851,1450.31,5.05237,1450.31,4.12719,1450.3,3.30571,1450.33,2.5901,1450.31,2.02641,1450.45,1.7426,1450.42,1.50798,1450.33
9.5278,1449.11,9.21163,1449.12,8.74352,1449.1,7.30469,1449.08,6.18308,1449.05,5.04887,1449.06,4.12804,1449.05,3.30367,1449.09,2.58583,1449.07,2.02495,1449.2,1.7407,1449.16,1.50509,1449.08
9.52617,1447.84,9.20759,1447.85,8.74142,1447.83,7.30446,1447.8,6.18048,1447.79,5.04607,1447.8,4.12498,1447.78,3.30174,1447.81,2.58657,1447.79,2.02355,1447.93,1.73933,1447.89,1.50617,1447.82
9.52569,1446.6,9.20692,1446.6,8.73969,1446.59,7.30374,1446.56,6.17782,1446.54,5.04422,1446.55,4.12201,1446.54,3.29959,1446.57,2.5839,1446.55,2.02114,1446.68,1.73967,1446.66,1.50442,1446.57
9.5233,1445.34,9.20698,1445.35,8.73749,1445.32,7.30198,1445.3,6.17454,1445.29,5.04209,1445.29,4.12445,1445.28,3.29784,1445.31,2.58255,1445.3,2.01962,1445.43,1.7421,1445.4,1.50399,1445.31
9.51906,1444.11,9.20389,1444.12,8.73577,1444.09,7.30056,1444.06,6.17261,1444.05,5.03957,1444.05,4.12236,1444.04,3.29723,1444.08,2.58114,1444.06,2.01877,1444.19,1.73997,1444.16,1.50129,1444.07
9.51569,1442.86,9.20008,1442.85,8.73392,1442.83,7.29791,1442.81,6.16978,1442.8,5.03695,1442.79,4.12116,1442.79,3.29553,1442.82,2.5797,1442.8,2.01735,1442.94,1.73788,1442.9,1.49976,1442.82
9.51217,1441.63,9.1997,1441.61,8.73145,1441.6,7.29544,1441.58,6.16646,1441.56,5.03527,1441.58,4.11774,1441.55,3.29357,1441.59,2.57656,1441.57,2.01535,1441.69,1.73644,1441.67,1.49896,1441.59
9.50853,1440.38,9.20041,1440.37,8.7303,1440.35,7.29304,1440.33,6.16465,1440.32,5.03169,1440.33,4.11479,1440.3,3.2897,1440.34,2.57284,1440.32,2.01337,1440.46,1.73345,1440.42,1.49819,1440.34
9.50803,1439.13,9.1982,1439.13,8.72944,1439.09,7.28931,1439.08,6.16256,1439.08,5.02706,1439.08,4.11339,1439.06,3.28783,1439.09,2.57207,1439.08,2.01136,1439.2,1.73326,1439.18,1.49717,1439.09
9.51024,1437.88,9.1965,1437.89,8.72556,1437.85,7.28768,1437.83,6.16035,1437.84,5.02413,1437.84,4.11195,1437.81,3.28568,1437.84,2.57241,1437.84,2.00936,1437.97,1.73007,1437.93,1.49623,1437.86
9.5079,1436.65,9.19509,1436.65,8.72299,1436.61,7.2858,1436.59,6.15831,1436.6,5.02235,1436.61,4.10954,1436.59,3.2821,1436.62,2.57155,1436.59,2.0085,1436.72,1.72834,1436.69,1.4944,1436.61
9.50755,1435.41,9.19132,1435.39,8.72053,1435.34,7.28365,1435.32,6.15602,1435.34,5.02241,1435.34,4.10788,1435.32,3.27874,1435.34,2.56877,1435.34,2.00743,1435.47,1.72757,1435.43,1.49436,1435.35
9.50462,1434.14,9.186,1434.14,8.71713,1434.1,7.28171,1434.08,6.15378,1434.11,5.0206,1434.1,4.10388,1434.09,3.27738,1434.11,2.56793,1434.09,2.00615,1434.23,1.72739,1434.19,1.4932,1434.12
9.49951,1432.91,9.18306,1432.89,8.71533,1432.86,7.27955,1432.83,6.15088,1432.85,5.018,1432.87,4.09759,1432.83,3.27453,1432.87,2.56564,1432.84,2.00452,1432.98,1.72205,1432.94,1.49168,1432.86
9.49671,1431.67,9.18353,1431.63,8.71381,1431.61,7.27621,1431.58,6.14887,1431.61,5.01552,1431.63,4.09449,1431.59,3.27176,1431.63,2.5657,1431.61,2.00272,1431.74,1.71964,1431.71,1.49134,1431.63
9.49119,1430.4,9.18119,1430.37,8.71278,1430.35,7.27423,1430.33,6.1465,1430.36,5.01219,1430.36,4.09517,1430.34,3.27054,1430.37,2.56298,1430.35,1.99276,1430.48,1.72376,1430.44,1.49028,1430.37
9.48838,1429.16,9.17745,1429.11,8.71059,1429.11,7.27214,1429.08,6.14413,1429.13,5.01334,1429.12,4.098,1429.1,3.26924,1429.12,2.56235,1429.11,1.99384,1429.23,1.722,1429.2,1.48969,1429.13
9.4837,1427.9,9.17409,1427.87,8.70767,1427.85,7.2682,1427.83,6.14147,1427.88,5.01187,1427.86,4.09693,1427.85,3.26612,1427.88,2.56055,1427.85,1.99536,1427.99,1.72097,1427.95,1.48816,1427.88
9.48164,1426.66,9.17141,1426.62,8.70446,1426.61,7.26542,1426.59,6.13917,1426.63,5.00965,1426.63,4.09443,1426.6,3.26319,1426.63,2.55905,1426.61,1.99471,1426.74,1.7209,1426.71,1.48685,1426.63
9.47775,1425.41,9.17044,1425.37,8.70204,1425.35,7.26355,1425.33,6.13699,1425.37,5.00736,1425.37,4.09183,1425.34,3.25952,1425.36,2.55713,1425.35,1.99322,1425.47,1.71793,1425.44,1.48612,1425.37
9.4753,1424.2,9.16792,1424.17,8.69972,1424.14,7.26164,1424.11,6.13429,1424.16,5.00452,1424.16,4.0875,1424.13,3.25689,1424.17,2.55329,1424.16,1.99195,1424.27,1.71823,1424.24,1.48539,1424.16
9.47409,1422.9,9.16386,1422.89,8.69701,1422.87,7.2607,1422.84,6.13234,1422.88,5.00136,1422.88,4.08304,1422.86,3.25434,1422.88,2.55134,1422.87,1.99084,1422.99,1.71793,1422.96,1.48049,1422.89
9.4752,1421.66,9.15858,1421.66,8.69656,1421.64,7.25843,1421.62,6.12964,1421.65,4.99933,1421.65,4.0815,1421.62,3.25105,1421.65,2.5499,1421.63,1.98885,1421.76,1.71654,1421.72,1.4811,1421.65
9.47189,1420.41,9.15764,1420.39,8.69356,1420.4,7.25542,1420.37,6.1266,1420.39,4.99681,1420.39,4.07808,1420.37,3.24848,1420.4,2.54849,1420.39,1.98725,1420.5,1.71371,1420.47,1.48103,1420.4
9.46922,1419.16,9.15534,1419.15,8.69086,1419.16,7.25229,1419.12,6.12485,1419.16,4.99401,1419.15,4.07289,1419.13,3.24656,1419.17,2.54782,1419.15,1.98661,1419.27,1.71428,1419.23,1.47991,1419.16
9.46485,1417.92,9.1509,1417.92,8.68798,1417.92,7.25074,1417.88,6.12235,1417.91,4.99245,1417.91,4.07294,1417.88,3.24474,1417.91,2.54708,1417.9,1.98443,1418.03,1.71383,1417.99,1.47757,1417.92
9.46112,1416.67,9.14515,1416.68,8.68592,1416.67,7.24839,1416.64,6.12048,1416.65,4.99139,1416.67,4.07053,1416.62,3.24531,1416.67,2.54462,1416.65,1.98136,1416.78,1.71133,1416.74,1.478,1416.66
9.45976,1415.44,9.13922,1415.45,8.68494,1415.43,7.24602,1415.41,6.11824,1415.42,4.98903,1415.43,4.06912,1415.39,3.24394,1415.43,2.54186,1415.43,1.98104,1415.53,1.70929,1415.51,1.47684,1415.42
9.45906,1414.18,9.13703,1414.19,8.68197,1414.18,7.24379,1414.15,6.11588,1414.16,4.98669,1414.15,4.0674,1414.13,3.24339,1414.16,2.54051,1414.15,1.98003,1414.28,1.70852,1414.24,1.47563,1414.17
9.45425,1412.94,9.13714,1412.96,8.67984,1412.95,7.24107,1412.91,6.11184,1412.91,4.98454,1412.91,4.06266,1412.9,3.24118,1412.93,2.53874,1412.92,1.97572,1413.04,1.70684,1413.01,1.47402,1412.94
9.45051,1411.69,9.13602,1411.69,8.67814,1411.69,7.23856,1411.66,6.1083,1411.65,4.98209,1411.67,4.05773,1411.64,3.23783,1411.67,2.53511,1411.66,1.97704,1411.78,1.70357,1411.75,1.47324,1411.68
9.44802,1410.44,9.12873,1410.47,8.67686,1410.44,7.23585,1410.41,6.1059,1410.41,4.97997,1410.41,4.05922,1410.39,3.23564,1410.42,2.53326,1410.42,1.97701,1410.54,1.70337,1410.5,1.47126,1410.43
9.44457,1409.07,9.12358,1409.09,8.67486,1409.07,7.23398,1409.05,6.10392,1409.04,4.97728,1409.05,4.05566,1409.03,3.23358,1409.06,2.53358,1409.04,1.97617,1409.18,1.70287,1409.14,1.46904,1409.06
9.44207,1407.78,9.11988,1407.79,8.67197,1407.77,7.23195,1407.75,6.10087,1407.73,4.97465,1407.74,4.04983,1407.73,3.23067,1407.76,2.52943,1407.74,1.97346,1407.87,1.70182,1407.83,1.46909,1407.76
9.43685,1406.52,9.11816,1406.53,8.66955,1406.51,7.22884,1406.49,6.09947,1406.47,4.97198,1406.48,4.04676,1406.46,3.22974,1406.49,2.52893,1406.48,1.97199,1406.6,1.70013,1406.57,1.46715,1406.51
9.43258,1405.29,9.11963,1405.32,8.66728,1405.29,7.22626,1405.25,6.08603,1405.24,4.9699,1405.26,4.04494,1405.23,3.22768,1405.28,2.52939,1405.27,1.97093,1405.39,1.69896,1405.34,1.46584,1405.27
9.42916,1404.05,9.11721,1404.03,8.66438,1404.02,7.22379,1404.01,6.07533,1403.98,4.96784,1403.99,4.04155,1403.97,3.2266,1404.02,2.52709,1403.99,1.96851,1404.12,1.69734,1404.08,1.46566,1404.01
9.43244,1402.81,9.1139,1402.81,8.66197,1402.79,7.22143,1402.77,6.07186,1402.75,4.96597,1402.75,4.04042,1402.74,3.22377,1402.78,2.52281,1402.76,1.96734,1402.88,1.69625,1402.84,1.46433,1402.77
9.43069,1401.55,9.11126,1401.55,8.65978,1401.54,7.21914,1401.52,6.06898,1401.49,4.96385,1401.5,4.04301,1401.48,3.22099,1401.52,2.51943,1401.5,1.96597,1401.63,1.69539,1401.59,1.46242,1401.52
9.4269,1400.33,9.10748,1400.32,8.65658,1400.3,7.21629,1400.28,6.07258,1400.27,4.96185,1400.26,4.04361,1400.25,3.21782,1400.28,2.51639,1400.27,1.96422,1400.39,1.69427,1400.35,1.46079,1400.28
9.42392,1399.07,9.10231,1399.07,8.65344,1399.06,7.21378,1399.03,6.07562,1399.01,4.95928,1399.01,4.03626,1398.99,3.21586,1399.03,2.51337,1399.02,1.96277,1399.14,1.69232,1399.11,1.46035,1399.03
9.41994,1397.83,9.09961,1397.82,8.65054,1397.81,7.21121,1397.79,6.06935,1397.78,4.95628,1397.78,4.03134,1397.76,3.21396,1397.79,2.51002,1397.78,1.96006,1397.9,1.69013,1397.87,1.45697,1397.8
9.41764,1396.57,9.0992,1396.56,8.64922,1396.54,7.20877,1396.51,6.06499,1396.53,4.95463,1396.52,4.02861,1396.5,3.21256,1396.53,2.50897,1396.52,1.95848,1396.63,1.68871,1396.6,1.45773,1396.53
9.41776,1395.35,9.09941,1395.33,8.64706,1395.29,7.2069,1395.28,6.06545,1395.29,4.95235,1395.29,4.02577,1395.27,3.20913,1395.3,2.50857,1395.29,1.95749,1395.41,1.68757,1395.38,1.45782,1395.3
9.41657,1394.09,9.09408,1394.07,8.64465,1394.04,7.20445,1394.02,6.06513,1394.04,4.95016,1394.03,4.0272,1394.01,3.2055,1394.05,2.50565,1394.03,1.95222,1394.14,1.68547,1394.12,1.45554,1394.05
9.41162,1392.85,9.0828,1392.83,8.64214,1392.8,7.20235,1392.78,6.06521,1392.8,4.94766,1392.8,4.02807,1392.78,3.20633,1392.8,2.50431,1392.79,1.95592,1392.91,1.68499,1392.88,1.45477,1392.81
9.40623,1391.58,9.07777,1391.57,8.6406,1391.53,7.20005,1391.52,6.06063,1391.54,4.94383,1391.54,4.02925,1391.51,3.2075,1391.54,2.50276,1391.53,1.95461,1391.65,1.68399,1391.61,1.45446,1391.54
9.40122,1390.32,9.0786,1390.3,8.63877,1390.29,7.19732,1390.26,6.05922,1390.29,4.94199,1390.29,4.02789,1390.26,3.20643,1390.3,2.49867,1390.28,1.95311,1390.4,1.68289,1390.37,1.45343,1390.29
9.39771,1389.08,9.07557,1389.05,8.63655,1389.03,7.19554,1389.01,6.05786,1389.04,4.93919,1389.04,4.0225,1389.01,3.20428,1389.05,2.49983,1389.03,1.95124,1389.15,1.6815,1389.12,1.45196,1389.05
9.39562,1387.83,9.07225,1387.8,8.63382,1387.78,7.19342,1387.76,6.0581,1387.8,4.93684,1387.79,4.02042,1387.77,3.20059,1387.8,2.4982,1387.78,1.94955,1387.89,1.67926,1387.88,1.44971,1387.8
9.39468,1386.62,9.07237,1386.58,8.63094,1386.59,7.19098,1386.55,6.05576,1386.59,4.93475,1386.59,4.01912,1386.56,3.19569,1386.6,2.49754,1386.59,1.94664,1386.69,1.67663,1386.66,1.44844,1386.59
9.39174,1385.37,9.07324,1385.31,8.62868,1385.29,7.18884,1385.23,6.0528,1385.35,4.93269,1385.3,4.01783,1385.27,3.19374,1385.34,2.49605,1385.32,1.94477,1385.43,1.67658,1385.39,1.44745,1385.31
9.39154,1384.08,9.07037,1384.03,8.62718,1384.02,7.18625,1384,6.05079,1384.04,4.92992,1384.03,4.0162,1384.01,3.19232,1384.04,2.49443,1384.03,1.94465,1384.14,1.67656,1384.11,1.44756,1384.03
9.38209,1382.83,9.06499,1382.79,8.6247,1382.78,7.18331,1382.77,6.05173,1382.8,4.92493,1382.8,4.00858,1382.78,3.19224,1382.79,2.4931,1382.79,1.94284,1382.91,1.67521,1382.87,1.44634,1382.81
9.38352,1381.57,9.06163,1381.54,8.62227,1381.54,7.18045,1381.51,6.0496,1381.55,4.92093,1381.54,4.0026,1381.52,3.19125,1381.55,2.49186,1381.55,1.94098,1381.65,1.67404,1381.61,1.44516,1381.54
9.38168,1380.33,9.06067,1380.31,8.61957,1380.3,7.17769,1380.27,6.04699,1380.32,4.9186,1380.31,4.00497,1380.28,3.1897,1380.31,2.48989,1380.3,1.93898,1380.42,1.6728,1380.39,1.44359,1380.31
9.37687,1379.07,9.05451,1379.06,8.61859,1379.05,7.17556,1379.03,6.04231,1379.07,4.91683,1379.06,4.00314,1379.03,3.18693,1379.07,2.48667,1379.05,1.93715,1379.17,1.67151,1379.14,1.44192,1379.07
9.37222,1377.82,9.04887,1377.81,8.61891,1377.82,7.17317,1377.79,6.03892,1377.83,4.9138,1377.81,4.00207,1377.8,3.18489,1377.83,2.48336,1377.81,1.93679,1377.93,1.67016,1377.9,1.4404,1377.83
9.36847,1376.58,9.0469,1376.57,8.61749,1376.57,7.17035,1376.54,6.03761,1376.57,4.91123,1376.57,4.00193,1376.55,3.183,1376.57,2.4815,1376.56,1.93558,1376.68,1.66906,1376.65,1.44021,1376.58
9.368,1375.34,9.04344,1375.32,8.61431,1375.32,7.16828,1375.31,6.03705,1375.33,4.91065,1375.32,4.00147,1375.3,3.18079,1375.33,2.47895,1375.31,1.93422,1375.43,1.66333,1375.41,1.43896,1375.33
9.36465,1374.09,9.03497,1374.1,8.61052,1374.1,7.16499,1374.06,6.03128,1374.08,4.90969,1374.08,3.99534,1374.06,3.18,1374.09,2.4779,1374.09,1.93309,1374.2,1.66067,1374.16,1.43393,1374.09
