M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C
11.5133,2465.35,11.392,2465.31,10.2093,2465.31,8.91311,2465.25,7.785,2465.24,6.65565,2465.25,5.6848,2465.24,4.75811,2465.24,3.90748,2465.2,3.11923,2465.72,2.75411,2465.54,2.42499,2465.36
11.5119,2464.09,11.3912,2464.05,10.2072,2464.06,8.91199,2464.01,7.78333,2464.01,6.65448,2464,5.68333,2464,4.75636,2463.99,3.9054,2463.97,3.11822,2464.46,2.75275,2464.28,2.42332,2464.1
11.5064,2462.79,11.3909,2462.77,10.207,2462.79,8.91097,2462.74,7.78256,2462.71,6.65226,2462.74,5.68114,2462.73,4.75464,2462.72,3.90412,2462.61,3.11698,2463.19,2.75165,2463.03,2.42221,2462.84
11.5021,2461.37,11.3903,2461.34,10.2061,2461.48,8.90935,2461.34,7.78119,2461.28,6.65082,2461.38,5.678,2461.31,4.75293,2461.29,3.90249,2461.24,3.11527,2461.83,2.75077,2461.62,2.42131,2461.43
11.5008,2460.22,11.3858,2460.2,10.205,2460.23,8.90574,2460.15,7.77907,2460.17,6.64994,2460.16,5.67551,2460.15,4.75151,2460.15,3.90051,2460.12,3.11338,2460.59,2.74989,2460.43,2.42042,2460.27
11.5008,2458.98,11.3829,2458.95,10.2025,2459,8.90442,2458.91,7.77969,2458.93,6.6476,2458.93,5.67395,2458.91,4.75042,2458.92,3.89904,2458.89,3.11243,2459.35,2.74845,2459.2,2.41901,2459.02
11.5041,2457.74,11.3808,2457.73,10.2015,2457.75,8.90353,2457.67,7.77867,2457.69,6.64574,2457.68,5.67262,2457.68,4.74895,2457.68,3.89764,2457.65,3.11155,2458.11,2.74759,2457.96,2.41785,2457.77
11.5,2456.49,11.3779,2456.47,10.1998,2456.51,8.90045,2456.42,7.77617,2456.44,6.64524,2456.44,5.67068,2456.42,4.74762,2456.42,3.89662,2456.39,3.11054,2456.87,2.74679,2456.7,2.41646,2456.52
11.497,2455.25,11.3769,2455.24,10.1976,2455.29,8.89865,2455.2,7.77378,2455.21,6.64403,2455.2,5.66768,2455.2,4.74594,2455.19,3.89432,2455.17,3.1092,2455.64,2.74557,2455.48,2.41552,2455.29
11.492,2454.02,11.3779,2454,10.195,2454.04,8.89759,2453.95,7.77142,2453.97,6.64205,2453.97,5.66703,2453.96,4.74366,2453.95,3.89325,2453.93,3.10773,2454.4,2.74459,2454.25,2.41465,2454.05
11.4898,2452.76,11.3781,2452.74,10.1939,2452.8,8.8954,2452.7,7.76862,2452.72,6.64019,2452.71,5.66596,2452.7,4.7411,2452.69,3.89134,2452.67,3.10667,2453.14,2.74354,2452.99,2.4134,2452.8
11.4879,2451.53,11.373,2451.49,10.1916,2451.55,8.89285,2451.44,7.76762,2451.47,6.63836,2451.47,5.66518,2451.46,4.73965,2451.46,3.88916,2451.43,3.10575,2451.89,2.74225,2451.73,2.41268,2451.55
11.4845,2450.3,11.3689,2450.27,10.19,2450.31,8.89189,2450.22,7.76838,2450.24,6.63673,2450.25,5.66472,2450.23,4.73892,2450.22,3.88889,2450.2,3.10523,2450.65,2.74108,2450.51,2.41037,2450.33
11.483,2449.08,11.3685,2449.04,10.1885,2449.08,8.88953,2448.99,7.76728,2449,6.63447,2449.02,5.66291,2449,4.73714,2448.99,3.8874,2448.96,3.10346,2449.42,2.73755,2449.27,2.4076,2449.09
11.4828,2447.83,11.367,2447.8,10.1875,2447.83,8.88746,2447.74,7.76545,2447.75,6.63286,2447.77,5.66084,2447.74,4.7346,2447.72,3.88774,2447.7,3.10172,2448.18,2.73684,2448.01,2.40699,2447.84
11.4857,2446.61,11.3643,2446.56,10.1849,2446.58,8.88554,2446.5,7.76339,2446.5,6.631,2446.52,5.65965,2446.5,4.73277,2446.49,3.88619,2446.46,3.09992,2446.91,2.736,2446.77,2.40642,2446.59
11.4854,2445.37,11.3621,2445.33,10.1832,2445.32,8.88502,2445.27,7.76129,2445.25,6.62851,2445.28,5.65769,2445.25,4.7314,2445.24,3.88659,2445.21,3.09788,2445.67,2.73478,2445.53,2.40857,2445.35
11.4809,2444.13,11.3585,2444.08,10.1818,2444.08,8.88362,2444.03,7.75879,2444.01,6.62647,2444.04,5.65643,2444,4.73004,2444,3.88723,2443.97,3.09505,2444.43,2.73451,2444.28,2.40798,2444.12
11.4784,2442.86,11.3558,2442.82,10.1801,2442.8,8.881,2442.76,7.75406,2442.74,6.6255,2442.76,5.65487,2442.73,4.72895,2442.72,3.88673,2442.7,3.09569,2443.17,2.7342,2443.02,2.40671,2442.84
11.4762,2441.62,11.3528,2441.6,10.1762,2441.56,8.87974,2441.53,7.74997,2441.5,6.62376,2441.54,5.65268,2441.5,4.72735,2441.49,3.88525,2441.48,3.09477,2441.91,2.73304,2441.77,2.40554,2441.6
11.4751,2440.39,11.3497,2440.37,10.1745,2440.33,8.87766,2440.29,7.74718,2440.27,6.62203,2440.29,5.6505,2440.26,4.72558,2440.26,3.88434,2440.23,3.09305,2440.69,2.7322,2440.54,2.40369,2440.36
11.4738,2439.16,11.3457,2439.13,10.1734,2439.09,8.87557,2439.06,7.74492,2439.04,6.62061,2439.07,5.64865,2439.02,4.72367,2439.03,3.88344,2439,3.09164,2439.46,2.73172,2439.31,2.4027,2439.14
11.4698,2437.89,11.3449,2437.87,10.1725,2437.82,8.87399,2437.81,7.74326,2437.77,6.61893,2437.8,5.64699,2437.75,4.72233,2437.77,3.88088,2437.74,3.09045,2438.2,2.73053,2438.06,2.40235,2437.88
